year,stock,source,target,holder,location,market,group,is_coreSource,name
2016,6598,"Applied BioCode, Corporation","Applied BioCode,Inc.",1,美國,興櫃,G6598,0,ABC-KY集團
2016,6598,"Applied BioCode,Inc.",瑞磁生物科技股份有限公司,1,台灣,興櫃,G6598,0,ABC-KY集團
2016,4971,Intelligent Epitaxy Technology Inc.,"IntelliEPI IR, Inc.",0.4,美國,上櫃,G4971,0,IET-KY集團
2016,4971,Intelligent Epitaxy Technology Inc.,"IntelliEPI Japan, Ltd.",0.51,日本,上櫃,G4971,0,IET-KY集團
2016,4971,Intelligent Epitaxy Technology Inc.,天津英特磊半導體科技有限公司,1,china,上櫃,G4971,0,IET-KY集團
2016,4971,英屬開曼群島商英特磊科技股份有限公司,Intelligent Epitaxy Technology Inc.,1,美國,上櫃,G4971,1,IET-KY集團
2016,5284,"Believing Power Co., Ltd.",英屬開曼群島商經寶精密控股股份有限公司JPP HOLDING COMPANY LIMITED,,,上市,G5284,0,jpp-KY集團
2016,5284,"HO SHENG HOLDINGS CO., LTD.",英屬開曼群島商經寶精密控股股份有限公司JPP HOLDING COMPANY LIMITED,,,上市,G5284,0,jpp-KY集團
2016,5284,"POWELL GROUP CO., LTD.",英屬開曼群島商經寶精密控股股份有限公司JPP HOLDING COMPANY LIMITED,,,上市,G5284,0,jpp-KY集團
2016,5284,英屬開曼群島商經寶精密控股股份有限公司JPP HOLDING COMPANY LIMITED,經寶精密股份有限公司,0.9999,泰國,上市,G5284,0,jpp-KY集團
2016,5284,經寶精密股份有限公司,"Jinpao Precision Japan Co., Ltd.",0.8,日本,上市,G5284,0,jpp-KY集團
2016,3673,Capable Way Investments Limited,"TPK Holding Co., Ltd.",,,上市,G3673,0,TPK-KY集團
2016,3673,CIM Corporation,Hallys Corporation,0,日本,上市,G3673,0,TPK-KY集團
2016,3673,"Global Yield International Co., Ltd.","TPK Holding Co., Ltd.",,,上市,G3673,0,TPK-KY集團
2016,3673,Hallys Corporation,Hallys Hong Kong Limited,0,香港,上市,G3673,0,TPK-KY集團
2016,3673,Hallys Hong Kong Limited,上鴻(廈門)精密機械有限公司 ,0,不明,上市,G3673,0,TPK-KY集團
2016,3673,High Focus Holdings Limited,"TPK Holding Co., Ltd.",,,上市,G3673,0,TPK-KY集團
2016,3673,Improve Idea Investments Ltd.,TPK Asia Pacific Sdn. Bhd.,1,馬來西亞,上市,G3673,0,TPK-KY集團
2016,3673,Max Gain Management Limited,"TPK Holding Co., Ltd.",,,上市,G3673,0,TPK-KY集團
2016,3673,Optera TPK Holding Pte. Ltd.,"TPK America, LLC",1,美國,上市,G3673,0,TPK-KY集團
2016,3673,Optera TPK Holding Pte. Ltd.,宸陽光電科技(廈門)有限公司,0,china,上市,G3673,0,TPK-KY集團
2016,3673,Optera TPK Holding Pte. Ltd.,宸鴻科技(廈門)有限公司,0.1027,不明,上市,G3673,0,TPK-KY集團
2016,3673,Ray- Star Universal Solutions Limited,TPK Universal Solutions Limited,1,香港,上市,G3673,0,TPK-KY集團
2016,3673,Ray-Star System Solutions Limited,宸正光電(廈門)有限公司 ,0,不明,上市,G3673,0,TPK-KY集團
2016,3673,Ray-Star System Solutions Limited,祥達光學(廈門)有限公司 ,0.0569,不明,上市,G3673,0,TPK-KY集團
2016,3673,TPK Asia Pacific Sdn. Bhd.,大鴻先進科技股份有限公司,0.55,台灣,上市,G3673,0,TPK-KY集團
2016,3673,TPK Asia Pacific Sdn. Bhd.,宸鴻光電科技股份有限公司,1,台灣,上市,G3673,0,TPK-KY集團
2016,3673,TPK Film Solution Limited,宸新科技(廈門)有限公司 ,1,不明,上市,G3673,0,TPK-KY集團
2016,3673,"TPK Holding Co., Ltd.",Improve Idea Investments Ltd.,1,薩摩亞,上市,G3673,0,TPK-KY集團
2016,3673,"TPK Holding Co., Ltd.",Optera TPK Holding Pte. Ltd.,1,新加坡,上市,G3673,0,TPK-KY集團
